,t_cap,t_hh,xlong,ylat
0,2000.0,80.0,242.72379999999998,44.41442
1,2000.0,80.0,242.72617,44.41624
2,2000.0,80.0,242.72057,44.42364
3,2000.0,80.0,242.72327,44.42429
4,2000.0,80.0,242.73566,44.41357
5,1500.0,80.0,239.68781,45.88369
6,1500.0,80.0,239.71191,45.9349
7,1500.0,80.0,239.71321,45.91869
8,1500.0,80.0,239.72411,45.87679
9,1500.0,80.0,239.71062,45.8537
10,1500.0,80.0,239.74160999999998,45.88779
11,1500.0,80.0,239.68770999999998,45.88519
12,1500.0,80.0,239.73361,45.8453
13,1500.0,80.0,239.70301,45.87209
14,1500.0,80.0,239.71111000000002,45.8565
15,1500.0,80.0,239.70892,45.848
16,1500.0,80.0,239.70291,45.87479
17,1500.0,80.0,239.74281000000002,45.8836
18,1500.0,80.0,239.72821,45.8522
19,1500.0,80.0,239.71091,45.90049
20,1500.0,80.0,239.70301,45.86659
21,1500.0,80.0,239.68391,45.86289
22,1500.0,80.0,239.68381,45.86429
23,1500.0,80.0,239.73891,45.8966
24,1500.0,80.0,239.69441,45.85939
25,1500.0,80.0,239.67131,45.84929
26,1500.0,80.0,239.73230999999998,45.841
27,1500.0,80.0,239.67142,45.8509
28,1500.0,80.0,239.76810999999998,45.8816
29,1500.0,80.0,239.73140999999998,45.93259
30,1500.0,80.0,239.71722,45.94249
31,1500.0,80.0,239.71432,45.93239
32,1500.0,80.0,239.71420999999998,45.93099
33,1500.0,80.0,239.68781,45.88689
34,1500.0,80.0,239.71121,45.90319
35,1500.0,80.0,239.71071999999998,45.89779
36,1500.0,80.0,239.73361,45.90989
37,1500.0,80.0,239.72620999999998,45.86869
38,1500.0,80.0,239.73421000000002,45.90849
39,1500.0,80.0,239.76171,45.89459
40,1500.0,80.0,239.76501000000002,45.88969
41,1500.0,80.0,239.76672000000002,45.8872
42,1500.0,80.0,239.71041,45.8933
43,1500.0,80.0,239.67091,45.84209
44,1500.0,80.0,239.73171000000002,45.8396
45,1500.0,80.0,239.72771,45.8494
46,1500.0,80.0,239.70941,45.8495
47,1500.0,80.0,239.72581,45.8728
48,1500.0,80.0,239.72241,45.8793
49,1500.0,80.0,239.72331,45.863
50,1500.0,80.0,239.70261,45.8775
51,1500.0,80.0,239.70301,45.8639
52,1500.0,80.0,239.70232,45.8803
53,1500.0,80.0,239.67081000000002,45.84069
54,1500.0,80.0,239.76721,45.8859
55,1500.0,80.0,239.76601,45.88849
56,1500.0,80.0,239.76241,45.89339
57,1500.0,80.0,239.70782,45.84539
58,1500.0,80.0,239.74241999999998,45.885
59,1500.0,80.0,239.72521,45.8742
60,1500.0,80.0,239.71391,45.9283
61,1500.0,80.0,239.69341,45.85669
62,1500.0,80.0,239.71732,45.94379
63,1500.0,80.0,239.71411,45.92959
64,1500.0,80.0,239.70841000000001,45.8467
65,1500.0,80.0,239.72620999999998,45.86739
66,1500.0,80.0,239.73782,45.8993
67,1500.0,80.0,239.73140999999998,45.9367
68,1500.0,80.0,239.71321,45.92149
69,1500.0,80.0,239.70301,45.86789
70,1500.0,80.0,239.72462000000002,45.87549
71,1500.0,80.0,239.74031,45.89209
72,1500.0,80.0,239.67081000000002,45.8434
73,1500.0,80.0,239.71121,45.90459
74,1500.0,80.0,239.71051,45.8947
75,1500.0,80.0,239.72102,45.8802
76,1500.0,80.0,239.69212,45.8527
77,1500.0,80.0,239.76301999999998,45.89209
78,1500.0,80.0,239.73131999999998,45.9353
79,1500.0,80.0,239.71062,45.89639
80,1500.0,80.0,239.71031,45.8523
81,1500.0,80.0,239.72611,45.87009
82,1500.0,80.0,239.74201,45.8864
83,1500.0,80.0,239.71091,45.89909
84,1500.0,80.0,239.71191,45.93359
85,1500.0,80.0,239.71041,45.89199
86,1500.0,80.0,239.70312,45.87069
87,1500.0,80.0,239.73991,45.89349
88,1500.0,80.0,239.72601,45.86599
89,1500.0,80.0,239.73331000000002,45.8439
90,1500.0,80.0,239.73952,45.89489
91,1500.0,80.0,239.70271,45.87619
92,1500.0,80.0,239.71341999999999,45.92419
93,1500.0,80.0,239.73281,45.8425
94,1500.0,80.0,239.76391999999998,45.8909
95,1500.0,80.0,239.72800999999998,45.8508
96,1500.0,80.0,239.73140999999998,45.9339
97,1500.0,80.0,239.73831,45.898
98,1500.0,80.0,239.71722,45.94109
99,1500.0,80.0,239.71361000000002,45.9255
100,1500.0,80.0,239.73122,45.8382
101,1500.0,80.0,239.68781,45.88849
102,1500.0,80.0,239.73572000000001,45.90459
103,1500.0,80.0,239.71080999999998,45.8551
104,1500.0,80.0,239.68372,45.86569
105,1500.0,80.0,239.74121,45.88919
106,1500.0,80.0,239.71111000000002,45.90189
107,1500.0,80.0,239.71121,45.90599
108,1500.0,80.0,239.70251000000002,45.8789
109,1500.0,80.0,239.71131,45.8579
110,1500.0,80.0,239.71031,45.89059
111,1500.0,80.0,239.70291,45.87339
112,1500.0,80.0,239.72341,45.87809
113,1500.0,80.0,239.69261,45.85399
114,1500.0,80.0,239.73682,45.90189
115,1500.0,80.0,239.67111,45.84779
116,1500.0,80.0,239.71311,45.92279
117,1500.0,80.0,239.71391,45.9269
118,1500.0,80.0,239.70301,45.86929
119,1500.0,80.0,239.73621,45.90319
120,1500.0,80.0,239.70990999999998,45.8509
121,1500.0,80.0,239.71021000000002,45.88919
122,1500.0,80.0,239.71031,45.88779
123,1500.0,80.0,239.71321,45.92009
124,1500.0,80.0,239.70301,45.86519
125,1500.0,80.0,239.69302,45.85539
126,1500.0,80.0,239.72611,45.87149
127,1500.0,80.0,239.74081,45.89059
128,1500.0,80.0,239.76791,45.88319
